country.name,wave,survey,n,p_response,trust,years
Botswana,1,Afrobarometer,1200,0.9441666666666667,0.1473962930273609,1999-2001
Lesotho,1,Afrobarometer,1177,0.9847068819031436,0.039689387402933596,1999-2001
Malawi,1,Afrobarometer,1208,0.9776490066225165,0.44792548687552913,1999-2001
Mali,1,Afrobarometer,2089,0.9918621349928195,0.1277781182854143,1999-2001
Namibia,1,Afrobarometer,1183,0.8977176669484361,0.3512241054613936,1999-2001
Nigeria,1,Afrobarometer,3603,0.9877879544823758,0.15425681371171684,1999-2001
South Africa,1,Afrobarometer,2200,0.9586363636363636,0.20609236298791056,1999-2001
Tanzania,1,Afrobarometer,2198,0.9877161055505005,0.09852793692146311,1999-2001
Uganda,1,Afrobarometer,2271,0.9757815940114487,0.15884941572597566,1999-2001
Zambia,1,Afrobarometer,1198,0.9532554257095158,0.1996497373029773,1999-2001
Zimbabwe,1,Afrobarometer,1200,0.9483333333333334,0.13268892794376108,1999-2001
Benin,3,Afrobarometer,1198,0.9707846410684474,0.2742906276870163,2005
Botswana,3,Afrobarometer,1200,0.995,0.0594639865996649,2005
Cape Verde,3,Afrobarometer,1256,0.9785031847133758,0.0335405998536944,2005
Ghana,3,Afrobarometer,1197,0.9866332497911445,0.15664690939881454,2005
Kenya,3,Afrobarometer,1278,0.9937402190923318,0.09818083213864659,2005
Lesotho,3,Afrobarometer,1161,1,0.1655084384249279,2005
Madagascar,3,Afrobarometer,1350,0.9925925925925926,0.3278897529808482,2005
Malawi,3,Afrobarometer,1200,0.9875,0.06919831223628692,2005
Mali,3,Afrobarometer,1244,0.9959807073954984,0.22821808641954178,2005
Mozambique,3,Afrobarometer,1198,0.8856427378964942,0.2516493873704053,2005
Namibia,3,Afrobarometer,1200,0.9675,0.28165374677002575,2005
Nigeria,3,Afrobarometer,2363,0.9526026237833263,0.12637856956122095,2005
Senegal,3,Afrobarometer,1200,0.9866666666666667,0.2677364864864864,2005
South Africa,3,Afrobarometer,2400,0.9691666666666666,0.1553446909320455,2005
Tanzania,3,Afrobarometer,1304,0.9785276073619632,0.12599808058124484,2005
Uganda,3,Afrobarometer,2400,0.9966666666666667,0.1728195825234642,2005
Zambia,3,Afrobarometer,1200,0.9975,0.09941520467836251,2005
Algeria,5,Afrobarometer,1204,0.9817275747508306,0.21995156492683043,2011-2013
Benin,5,Afrobarometer,1200,0.9991666666666666,0.31990776137934596,2011-2013
Botswana,5,Afrobarometer,1200,0.9916666666666667,0.10969423606703743,2011-2013
